
"TABLE H-1. Selected Characteristics of households, by Total Money Income in 1994 (Numbers in thousands)"
,Total,"Under $2,500","$2,500 to $4,999","$5,000 to $7,499","$7,500 to $9,999","$10,0- 00 to $12,4- 99","$12,5- 00 to $14,9- 99","$15,0- 00 to $17,4- 99","$17,5- 00 to $19,9- 99","$20,0- 00 to $22,4- 99","$22,5- 00 to $24,9- 99","$25,0- 00 to $27,4- 99","$27,5- 00 to $29,9- 99","$30,0- 00 to $32,4- 99","$32,5- 00 to $34,9- 99"
All households,98990,1992,2053,4780,4589,4751,4275,4453,3893,4296,3846,3824,3253,3857,3098
Type of Residence
Inside metro. areas,78594,1543,1565,3575,3376,3537,3143,3281,2912,3286,2939,2967,2495,3011,2381
Inside central cities,30278,799,834,2024,1620,1661,1414,1523,1283,1400,1256,1247,1002,1118,920
One million or more,18893,555,559,1370,1046,1024,864,902,750,866,764,767,637,681,561
Under one million,11385,244,275,654,574,637,550,621,533,534,492,479,365,436,359
Outside central cities,48316,744,731,1551,1756,1876,1729,1758,1629,1886,1683,1720,1493,1893,1461
One million or more,31879,498,413,891,1049,1166,1047,1068,997,1120,1061,1091,955,1206,934
Under one million,16436,246,318,660,708,710,682,690,632,766,622,629,538,688,527
Outside metro. areas,20396,449,487,1205,1212,1214,1132,1172,981,1010,908,857,758,846,717
Region
Northeast,19593,417,371,1005,930,881,774,764,720,743,670,729,599,711,498
Midwest,23683,384,512,1112,1045,1086,968,1058,1003,1042,1011,890,770,958,855
South,34766,754,873,1865,1668,1813,1634,1724,1388,1590,1337,1458,1267,1371,1092
West,20948,438,297,798,945,970,898,907,781,921,828,747,617,816,653
Race and Hispanic Origin
of Householder
White,83737,1411,1343,3377,3693,3824,3498,3606,3283,3631,3230,3206,2800,3301,2725
Black,11655,473,609,1231,753,747,598,697,506,519,483,490,338,399,267
Hispanic,7735,213,271,584,517,519,422,452,359,389,380,352,282,272,244
Type of Household
Family households,69305,937,1010,1803,1883,2261,2385,2627,2409,2688,2590,2540,2340,2757,2380
Married-couple families,53858,439,209,579,879,1214,1518,1691,1671,1924,1909,1884,1761,2116,1869
"Male householder, nsp",3226,46,56,104,140,162,126,180,162,159,142,157,154,131,106
"Female householder, nsp",12220,452,745,1120,864,886,740,756,577,605,538,498,425,510,404
