

"TABLE H-1. Selected Characteristics of households, by Total Money Income in 1995 (Numbers in thousands)"
,Total,"Under $2,500","$2,500 to $4,999","$5,000 to $7,499","$7,500 to $9,999","$10,0- 00 to $12,4- 99","$12,5- 00 to $14,9- 99","$15,0- 00 to $17,4- 99","$17,5- 00 to $19,9- 99","$20,0- 00 to $22,4- 99","$22,5- 00 to $24,9- 99","$25,0- 00 to $27,4- 99","$27,5- 00 to $29,9- 99","$30,0- 00 to $32,4- 99","$32,5- 00 to $34,9- 99"
All households,99627,1836,1815,4229,4309,4483,4233,4373,3921,4141,3413,3936,3414,3820,2997
Type of Residence
Inside metro. areas,79875,1508,1383,3061,3302,3380,3089,3377,3000,3208,2598,2994,2637,2968,2283
Inside central cities,30985,876,780,1770,1716,1670,1422,1534,1312,1502,1111,1177,1080,1204,844
One million or more,19792,601,500,1136,1112,1083,900,913,858,979,735,767,687,721,508
Under one million,11193,274,280,633,604,587,522,621,454,523,376,410,394,482,336
Outside central cities,48890,632,603,1292,1586,1710,1666,1843,1689,1706,1487,1817,1557,1764,1439
One million or more,33215,395,349,777,999,1141,1009,1160,1020,1087,899,1142,1007,1142,925
Under one million,15674,237,254,515,587,569,657,682,669,619,588,675,549,622,514
Outside metro. areas,19753,328,432,1168,1007,1103,1145,996,920,933,815,942,777,852,713
Region
Northeast,19695,387,359,915,866,919,747,742,695,707,556,692,608,729,627
Midwest,23707,363,357,875,834,1027,1001,920,991,1009,787,913,844,921,737
South,35143,741,810,1716,1650,1631,1657,1682,1448,1567,1327,1525,1281,1423,1069
West,21082,345,290,723,959,906,829,1029,787,858,744,806,681,747,564
Race and Hispanic Origin
of Householder
White,84511,1235,1229,3089,3386,3591,3492,3585,3341,3431,2835,3387,2860,3265,2636
Black,11577,482,519,1005,777,720,616,635,465,595,483,423,437,435,273
Hispanic,7939,240,237,602,499,537,434,507,413,451,336,350,287,325,260
Type of Household
Family households,69594,853,855,1474,1659,2165,2213,2499,2424,2635,2312,2546,2446,2665,2167
Married-couple families,53567,332,234,452,718,1126,1272,1540,1647,1809,1619,1878,1775,1973,1666
"Male householder, nsp",3513,51,44,86,110,155,138,169,152,188,160,163,135,157,115
"Female householder, nsp",12514,469,577,936,830,884,802,790,625,638,533,505,536,535,386
Nonfamily households,30033,983,960,2755,2651,2318,2021,1874,1496,1507,1101,1390,968,1155,830
Male householder,13348,434,353,730,749,847,648,713,644,718,559,683,495,614,403
Living alone,10288,377,312,667,699,779,550,620,543,583,452,534,370,489,303
Female householder,16685,549,607,2026,1902,1471,1373,1161,853,788,543,707,472,541,427
Living alone,14612,523,590,1990,1842,1426,1275,1101,777,688,471,591,394,437,351
Age of Householder
Under 65 years,78141,1544,1337,2442,2232,2654,2383,2805,2572,3015,2469,3007,2587,3137,2377
15 to 24 years,5282,243,286,340,288,360,347,404,258,294,289,274,256,255,162
25 to 34 years,19225,383,335,567,652,741,644,752,724,877,718,885,762,974,678
35 to 44 years,23226,321,291,561,459,635,640,701,674,816,692,841,708,912,693
45 to 54 years,18008,286,237,457,387,471,336,494,451,520,448,569,473,552,512
55 to 64 years,12401,312,189,517,445,446,417,454,465,507,322,438,388,444,332
65 years and over,21486,292,478,1787,2077,1829,1850,1568,1348,1127,945,929,827,683,620
65 to 74 years,11908,140,174,797,872,800,847,798,750,663,531,564,532,417,424
75 years and over,9578,152,304,990,1206,1029,1003,770,599,464,414,365,295,266,196

"TABLE H-1. Selected Characteristics of households, by Total Money Income in 1995 (Numbers in thousands)"
,"$35,0- 00 to $37,4- 99","$37,5- 00 to $39,9- 99","$40,0- 00 to $42,4- 99","$42,5- 00 to $44,9- 99","$45,0- 00 to $47,4- 99","$47,5- 00 to $49,9- 99","$50,0- 00 to $52,4- 99","$52,5- 00 to $54,9- 99","$55,0- 00 to $57,4- 99","$57,5- 00 to $59,9- 99","$60,0- 00 to $62,4- 99","$62,5- 00 to $64,9- 99","$65,0- 00 to $67,4- 99","$67,5- 00 to $69,9- 99","$70,0- 00 to $72,4- 99"
All households,3437,2875,3118,2486,2768,2192,2575,1889,2115,1697,1901,1555,1583,1292,1401
Type of Residence
Inside metro. areas,2662,2291,2495,1990,2209,1768,2149,1502,1696,1462,1642,1309,1356,1098,1222
Inside central cities,1007,897,882,758,769,518,680,507,523,398,546,382,400,320,394
One million or more,646,540,580,450,460,289,440,327,325,242,391,233,254,197,251
Under one million,361,358,302,309,309,229,240,180,198,156,154,148,146,123,142
Outside central cities,1655,1394,1612,1231,1440,1250,1469,995,1173,1064,1097,927,956,779,829
One million or more,1068,925,1066,790,946,881,1049,668,780,741,772,663,704,577,639
Under one million,587,469,547,442,494,369,420,327,393,323,325,264,252,202,190
Outside metro. areas,775,583,624,496,559,424,426,387,420,234,259,246,227,194,179
Region
Northeast,675,504,606,465,533,415,576,379,448,339,394,346,317,261,324
Midwest,820,679,765,675,713,560,619,485,573,458,511,404,432,350,323
South,1245,1088,1111,861,919,698,820,590,658,537,570,502,484,404,461
West,697,603,636,486,603,519,559,434,436,363,427,303,350,278,293
Race and Hispanic Origin
of Householder
White,2915,2516,2648,2166,2414,1925,2256,1703,1868,1539,1688,1397,1378,1144,1217
Black,391,256,344,259,254,191,222,133,177,102,135,95,148,101,120
Hispanic,243,186,198,143,176,112,167,117,123,91,104,77,78,61,59
Type of Household
Family households,2486,2237,2372,2022,2225,1735,2108,1612,1733,1423,1607,1344,1379,1129,1198
Married-couple families,1853,1738,1896,1640,1895,1423,1833,1394,1522,1244,1446,1195,1232,1017,1070
"Male householder, nsp",163,128,139,120,92,96,89,56,76,65,62,47,46,42,52
"Female householder, nsp",469,371,337,262,238,215,186,162,136,114,98,103,101,69,76
Nonfamily households,951,638,746,464,544,458,467,277,382,274,294,210,204,164,203
Male householder,540,334,413,235,323,272,253,168,222,152,190,118,119,96,135
Living alone,412,241,306,154,227,184,177,102,163,76,108,62,75,50,61
Female householder,410,304,333,229,221,186,214,109,160,121,105,92,86,68,69
Living alone,318,223,255,168,154,134,132,65,106,68,80,54,54,33,35
Age of Householder
Under 65 years,2924,2404,2668,2140,2485,1928,2315,1663,1952,1481,1775,1400,1430,1169,1326
15 to 24 years,171,111,138,108,104,67,109,38,47,50,56,25,20,14,28
25 to 34 years,770,697,762,596,714,526,611,421,479,346,384,257,286,242,267
35 to 44 years,942,685,773,703,802,599,809,563,691,533,674,504,500,411,434
