
"Table HINC-06. Income Distribution to $250,000 or More for Households:  2008"

"For information on confidentiality protection, sampling error, nonsampling error, and definitions, see www.census.gov/apsd/techdoc/cps/cpsmar09.pdf [/apsd/techdoc/cps/cpsmar09.pdf] [PDF]."
"Source:  U.S. Census Bureau, Current Population Survey, 2009 Annual Social and Economic Supplement."
"(Numbers in thousands. Households as of March of the following year. A.O.I.C. stands for alone or in combination)"

,All Races,,White A.O.I.C.,,White alone (1),
,Number,Mean Income,Number,Mean Income,Number,Mean Income
Income of Household,,,,,,
Total,"117,181","68,424","96,601","71,080","95,297","71,191"
"Under $2,500","2,588",298,"1,744",267,"1,705",262
"$2,500 to $4,999",971,"3,792",660,"3,792",642,"3,781"
"$5,000 to $7,499","1,677","6,261","1,140","6,251","1,121","6,248"
"$7,500 to $9,999","3,141","8,705","2,212","8,724","2,164","8,725"
"$10,000 to $12,499","3,684","11,223","2,817","11,237","2,783","11,240"
"$12,500 to $14,999","3,163","13,687","2,494","13,705","2,465","13,704"
"$15,000 to $17,499","3,600","16,074","2,926","16,075","2,877","16,079"
"$17,500 to $19,999","3,116","18,662","2,519","18,666","2,484","18,665"
"$20,000 to $22,499","3,967","21,064","3,116","21,077","3,081","21,077"
"$22,500 to $24,999","3,117","23,698","2,538","23,699","2,498","23,699"
"$25,000 to $27,499","3,620","26,003","2,863","26,021","2,827","26,020"
"$27,500 to $29,999","2,808","28,637","2,308","28,654","2,271","28,658"
"$30,000 to $32,499","3,736","30,982","2,988","31,002","2,951","30,998"
"$32,500 to $34,999","2,569","33,706","2,086","33,712","2,057","33,713"
"$35,000 to $37,499","3,517","35,966","2,822","36,009","2,771","36,009"
"$37,500 to $39,999","2,483","38,664","2,067","38,681","2,031","38,680"
"$40,000 to $42,499","3,343","40,970","2,694","40,979","2,645","40,978"
"$42,500 to $44,999","2,250","43,635","1,839","43,623","1,814","43,626"
"$45,000 to $47,499","2,698","45,964","2,242","46,000","2,215","45,998"
"$47,500 to $49,999","2,141","48,639","1,764","48,642","1,741","48,643"
"$50,000 to $52,499","3,325","50,939","2,743","50,947","2,709","50,945"
"$52,500 to $54,999","1,822","53,679","1,489","53,681","1,469","53,681"
"$55,000 to $57,499","2,311","56,004","1,970","56,002","1,951","56,004"
"$57,500 to $59,999","1,776","58,637","1,546","58,647","1,521","58,643"
"$60,000 to $62,499","2,784","60,923","2,344","60,936","2,306","60,933"
"$62,500 to $64,999","1,666","63,684","1,416","63,698","1,396","63,695"
"$65,000 to $67,499","2,096","65,950","1,784","65,957","1,761","65,954"
"$67,500 to $69,999","1,502","68,595","1,333","68,593","1,318","68,594"
"$70,000 to $72,499","2,203","71,004","1,844","71,023","1,816","71,024"
"$72,500 to $74,999","1,492","73,673","1,299","73,662","1,286","73,662"
"$75,000 to $77,499","2,051","75,923","1,746","75,919","1,726","75,922"
"$77,500 to $79,999","1,337","78,621","1,143","78,625","1,137","78,626"
"$80,000 to $82,499","1,870","80,918","1,601","80,922","1,574","80,919"
"$82,500 to $84,999","1,207","83,692","1,056","83,680","1,042","83,684"
"$85,000 to $87,499","1,555","85,985","1,299","86,005","1,279","86,011"
"$87,500 to $89,999","1,220","88,603","1,101","88,599","1,086","88,596"
"$90,000 to $92,499","1,575","90,955","1,356","90,990","1,340","90,993"
"$92,500 to $94,999","1,010","93,628",890,"93,630",883,"93,629"
"$95,000 to $97,499","1,290","96,048","1,102","96,047","1,092","96,047"
"$97,500 to $99,999",889,"98,649",793,"98,644",784,"98,647"
"$100,000 to $149,999","14,286","119,762","12,371","119,801","12,230","119,794"
"$150,000 to $199,999","5,250","169,550","4,544","169,566","4,498","169,586"
"$200,000 to $249,999","2,001","218,319","1,765","218,227","1,743","218,145"
"$250,000 and above","2,476","415,517","2,225","412,963","2,207","412,587"

,"White alone, not Hispanic",,Black A.O.I.C.,,Black alone (2),
,Number,Mean Income,Number,Mean Income,Number,Mean Income
Income of Household,,,,,,
Total,"82,884","74,102","15,056","46,679","14,595","46,533"
"Under $2,500","1,369",245,646,494,627,495
"$2,500 to $4,999",494,"3,807",253,"3,787",243,"3,760"
"$5,000 to $7,499",889,"6,244",466,"6,294",460,"6,282"
"$7,500 to $9,999","1,742","8,727",814,"8,648",798,"8,650"
"$10,000 to $12,499","2,262","11,238",704,"11,186",683,"11,183"
"$12,500 to $14,999","2,060","13,695",550,"13,608",546,"13,609"
"$15,000 to $17,499","2,436","16,105",575,"16,057",546,"16,080"
"$17,500 to $19,999","2,048","18,696",489,"18,653",475,"18,652"
"$20,000 to $22,499","2,517","21,120",659,"20,993",642,"20,997"
"$22,500 to $24,999","2,128","23,708",456,"23,670",447,"23,670"
"$25,000 to $27,499","2,340","26,036",639,"25,926",612,"25,913"
"$27,500 to $29,999","1,917","28,676",412,"28,512",397,"28,510"
"$30,000 to $32,499","2,334","31,013",577,"30,899",560,"30,906"
"$32,500 to $34,999","1,729","33,715",390,"33,692",382,"33,692"
"$35,000 to $37,499","2,317","36,032",565,"35,790",547,"35,792"
"$37,500 to $39,999","1,732","38,685",314,"38,555",304,"38,536"
"$40,000 to $42,499","2,177","40,998",510,"40,916",492,"40,920"
"$42,500 to $44,999","1,542","43,630",322,"43,710",314,"43,710"
"$45,000 to $47,499","1,891","46,020",347,"45,811",336,"45,808"
"$47,500 to $49,999","1,512","48,668",291,"48,621",281,"48,619"
"$50,000 to $52,499","2,347","50,973",444,"50,941",429,"50,941"
"$52,500 to $54,999","1,297","53,680",253,"53,729",252,"53,733"
"$55,000 to $57,499","1,705","55,999",237,"55,981",231,"56,001"
"$57,500 to $59,999","1,323","58,650",169,"58,586",165,"58,575"
"$60,000 to $62,499","1,992","60,952",331,"60,908",311,"60,891"
"$62,500 to $64,999","1,241","63,709",197,"63,546",194,"63,557"
"$65,000 to $67,499","1,551","65,951",213,"65,933",207,"65,932"
"$67,500 to $69,999","1,170","68,598",110,"68,600",108,"68,594"
"$70,000 to $72,499","1,628","71,016",240,"70,916",229,"70,911"
"$72,500 to $74,999","1,159","73,675",127,"73,682",125,"73,685"
"$75,000 to $77,499","1,543","75,932",194,"75,943",188,"75,942"
"$77,500 to $79,999","1,022","78,621",135,"78,537",135,"78,538"
"$80,000 to $82,499","1,413","80,925",182,"80,967",173,"80,952"
"$82,500 to $84,999",964,"83,692",101,"83,796",100,"83,807"
"$85,000 to $87,499","1,156","86,020",164,"85,933",160,"85,951"
"$87,500 to $89,999",996,"88,595",69,(B),69,(B)
"$90,000 to $92,499","1,204","90,995",134,"90,845",127,"90,849"
"$92,500 to $94,999",812,"93,618",75,(B),71,(B)
"$95,000 to $97,499",986,"96,059",114,"96,117",107,"96,139"
"$97,500 to $99,999",703,"98,652",61,(B),59,(B)
"$100,000 to $149,999","11,276","119,949","1,039","118,339",998,"118,338"
"$150,000 to $199,999","4,185","169,753",323,"168,113",309,"168,222"
"$200,000 to $249,999","1,670","218,019",83,"216,367",79,"216,172"
"$250,000 and above","2,103","412,030",81,"449,860",77,"459,551"

,Asian A.O.I.C.,,Asian alone (3),,Hispanic (any race),
,Number,Mean Income,Number,Mean Income,Number,Mean Income
Income of Household,,,,,,
Total,"4,805","86,323","4,573","86,185","13,425","51,572"
"Under $2,500",163,-77,163,-77,374,343
"$2,500 to $4,999",42,(B),41,(B),166,"3,731"
"$5,000 to $7,499",45,(B),44,(B),254,"6,254"
"$7,500 to $9,999",76,"8,906",71,(B),460,"8,714"
"$10,000 to $12,499",139,"11,117",131,"11,136",565,"11,235"
"$12,500 to $14,999",92,"13,678",89,"13,687",441,"13,719"
"$15,000 to $17,499",87,"15,988",80,"16,022",477,"15,940"
"$17,500 to $19,999",91,"18,677",83,"18,656",472,"18,514"
"$20,000 to $22,499",145,"21,071",141,"21,081",612,"20,893"
"$22,500 to $24,999",95,"23,792",91,"23,768",396,"23,653"
"$25,000 to $27,499",100,"25,981",96,"25,971",528,"25,951"
"$27,500 to $29,999",59,(B),56,(B),387,"28,561"
"$30,000 to $32,499",133,"30,896",127,"30,883",671,"30,940"
"$32,500 to $34,999",74,(B),67,(B),357,"33,694"
"$35,000 to $37,499",114,"35,770",106,"35,773",499,"35,865"
"$37,500 to $39,999",96,"38,649",89,"38,632",322,"38,669"
"$40,000 to $42,499",115,"40,887",107,"40,863",496,"40,904"
"$42,500 to $44,999",82,"43,648",77,"43,643",293,"43,604"
"$45,000 to $47,499",92,"45,571",88,"45,564",339,"45,877"
"$47,500 to $49,999",74,(B),73,(B),253,"48,440"
"$50,000 to $52,499",125,"50,773",122,"50,754",385,"50,761"
"$52,500 to $54,999",58,(B),55,(B),186,"53,706"
"$55,000 to $57,499",82,"55,987",80,"55,987",260,"56,042"
"$57,500 to $59,999",47,(B),43,(B),214,"58,609"
"$60,000 to $62,499",111,"60,769",99,"60,753",335,"60,821"
"$62,500 to $64,999",48,(B),47,(B),163,"63,580"
"$65,000 to $67,499",81,"65,810",79,"65,795",221,"65,978"
"$67,500 to $69,999",45,(B),42,(B),155,"68,583"
"$70,000 to $72,499",101,"70,812",96,"70,834",208,"71,059"
"$72,500 to $74,999",54,(B),52,(B),138,"73,545"
"$75,000 to $77,499",84,"75,834",79,"75,879",200,"75,863"
"$77,500 to $79,999",50,(B),48,(B),119,"78,657"
"$80,000 to $82,499",86,"80,769",79,"80,752",170,"80,850"
"$82,500 to $84,999",37,(B),35,(B),82,"83,595"
"$85,000 to $87,499",86,"85,775",80,"85,777",138,"85,913"
"$87,500 to $89,999",39,(B),37,(B),97,"88,569"
"$90,000 to $92,499",81,"90,581",76,"90,555",149,"90,989"
"$92,500 to $94,999",35,(B),33,(B),76,"93,802"
"$95,000 to $97,499",70,(B),69,(B),112,"95,906"
"$97,500 to $99,999",27,(B),26,(B),89,"98,631"
"$100,000 to $149,999",850,"120,955",810,"121,117","1,031","118,189"
"$150,000 to $199,999",370,"170,402",359,"170,367",345,"167,263"
"$200,000 to $249,999",160,"220,888",152,"220,291",82,"220,620"
"$250,000 and above",164,"421,072",155,"417,751",108,"418,942"
,
Race Footnotes [/macro/032009/racenotes.htm]

Source: U.S. Census Bureau
Contact: Demographic Call Center Staff at 301-763-2422 or 1-866-758-1060 (toll free)
