"Table with row headers in column A and column headers in rows 6, 7, and 8"
"Table HINC-06. Income Distribution to $250,000 or More for Households: 2015"
"For information on confidentiality protection, sampling error, nonsampling error, and definitions, see www2.census.gov/programs-surveys/cps/techdocs/cpsmar16.pdf"
"Source: U.S. Census Bureau, Current Population Survey, 2016 Annual Social and Economic Supplement."
(Numbers in thousands. Households as of March of the following year. A.O.I.C. stands for alone or in combination.  Standard errors calculated using replicate weights)
,All Races,White A.O.I.C.,White alone (1),"White alone, not Hispanic",Black A.O.I.C.,Black alone (2),Asian A.O.I.C.,Asian alone (3),Hispanic (any race)
,,Mean Income,,Mean Income,,Mean Income,,Mean Income,,Mean Income,,Mean Income,,Mean Income,,Mean Income,,Mean Income
Income of Household,Number,Dollars,Standard Error,Number,Dollars,Standard Error,Number,Dollars,Standard Error,Number,Dollars,Standard Error,Number,Dollars,Standard Error,Number,Dollars,Standard Error,Number,Dollars,Standard Error,Number,Dollars,Standard Error,Number,Dollars,Standard Error
,125819,79263,403,100990,82052,457,99313,82226,470,84445,85585,531,17322,54805,867,16539,54352,861,6640,105132,2199,6328,105417,2227,16667,63612,837
"Under $5,000",4235,1080,40,2796,1094,50,2709,1097,51,2132,1070,57,1114,1151,77,1068,1184,78,288,532,155,265,479,163,653,1180,94
"$5,000 to  $9,999",4071,8018,31,2647,8033,40,2569,8035,40,2004,8091,46,1212,8031,60,1165,8038,61,145,7695,190,138,7625,195,673,7839,82
"$10,000 to $14,999",6324,12397,30,4646,12461,34,4561,12467,35,3713,12560,41,1393,12231,56,1354,12241,57,225,12096,145,210,12031,150,944,12106,66
"$15,000 to $19,999",6470,17297,29,4922,17323,36,4813,17327,36,3923,17371,41,1259,17194,61,1205,17187,62,226,17161,146,209,17166,159,992,17137,69
"$20,000 to $24,999",6765,22199,28,5290,22229,33,5202,22225,34,4149,22273,37,1188,22163,65,1141,22156,65,232,21910,171,218,21861,171,1175,22056,59
"$25,000 to $29,999",6222,27116,30,4958,27111,33,4877,27112,33,3933,27160,39,995,27153,64,965,27157,65,210,27212,169,203,27217,170,1028,26921,67
"$30,000 to $34,999",6354,32027,31,5024,32069,35,4949,32070,35,3971,32131,39,1049,31863,68,998,31892,69,196,31702,173,190,31694,178,1083,31819,67
"$35,000 to $39,999",5743,37115,28,4620,37142,32,4531,37139,33,3696,37179,39,855,36991,77,820,36977,76,227,37124,147,214,37117,152,924,36929,72
"$40,000 to $44,999",5203,41973,37,4191,42013,40,4132,42012,40,3358,42049,45,756,41799,83,729,41806,84,226,41704,143,215,41713,142,836,41846,74
"$45,000 to $49,999",5002,47180,34,4006,47177,35,3924,47175,35,3239,47228,43,734,47165,91,698,47170,93,228,47161,143,215,47155,148,758,46972,72
"$50,000 to $54,999",5078,51900,31,4075,51925,36,4001,51923,36,3376,51928,42,715,51853,81,683,51828,81,239,51585,161,232,51573,165,726,51933,71
"$55,000 to $59,999",4140,57119,41,3393,57125,47,3298,57122,47,2758,57170,53,541,57119,99,497,57125,100,201,57001,167,182,56931,171,619,56879,91
"$60,000 to $64,999",4367,61940,38,3509,61969,42,3462,61979,43,2905,62011,51,588,61879,107,558,61904,110,233,61569,172,226,61588,174,635,61820,82
"$65,000 to $69,999",3733,67102,42,3064,67134,45,3032,67130,46,2584,67166,50,452,67003,112,442,66969,109,188,66964,189,177,67010,198,494,66904,91
"$70,000 to $74,999",3683,72115,41,3013,72140,44,2957,72136,44,2473,72176,50,476,71964,122,444,71917,125,169,72139,190,163,72148,195,548,72004,85
"$75,000 to $79,999",3650,77022,38,3086,77035,44,3029,77032,44,2600,77023,51,361,77052,131,331,77079,130,192,76741,168,182,76691,170,487,77041,92
"$80,000 to $84,999",3354,82056,42,2775,82065,45,2741,82065,45,2376,82107,48,367,82047,131,358,82039,134,180,82028,174,172,81968,175,397,81802,112
"$85,000 to $89,999",2893,87165,44,2436,87155,50,2402,87155,50,2131,87175,55,316,87248,148,293,87313,151,115,87029,198,114,87019,200,322,87173,115
"$90,000 to $94,999",2850,92019,49,2360,92060,55,2328,92050,54,2033,92055,59,295,91852,138,284,91809,139,192,91861,176,184,91788,167,331,92016,109
"$95,000 to $99,999",2452,97107,49,2086,97070,53,2044,97067,54,1800,97090,59,218,97396,160,208,97438,166,129,97219,226,123,97241,231,267,96847,115
