year,T,r2_exp,n_exp_bins,alpha,alpha_se,r2_pow,n_pow_bins,mc_real,tail_fraction
1994,97382.17,0.8219,40,,,,0,211636.5,
1995,104285.7,0.7828,39,,,,0,205861.2,
1996,143112.72,0.5677,32,,,,0,199988.19999999998,
1997,118217.77,0.7485,37,,,,0,195420.1,
1998,137004.11,0.671,35,,,,0,192443.0,
1999,172691.79,0.5187,32,,,,0,188313.1,
2000,98266.18,0.8302,46,3.2039,0.1541,0.8889,56,182180.0,0.0123
2001,96800.38,0.8398,45,3.187,0.1567,0.8884,54,177189.0,0.0136
2002,96771.61,0.8411,44,3.2028,0.1581,0.8895,53,174406.0,0.0132
2003,98142.79,0.8495,43,3.0945,0.1545,0.8891,52,170488.0,0.0138
2004,98041.7,0.8468,42,3.1245,0.158,0.8887,51,166058.0,0.015
2005,100961.75,0.8352,41,3.0395,0.156,0.8898,49,160651.0,0.0177
2006,106617.45,0.8126,40,2.9657,0.1592,0.8852,47,155636.0,0.0193
2007,111326.87,0.8005,40,2.8673,0.1514,0.8907,46,151294.0,0.0192
2008,107663.38,0.7947,38,2.8819,0.1603,0.8849,44,145734.0,0.0211
2009,109034.4,0.862,40,3.0003,0.0825,0.9685,45,146202.0,0.0202
2010,106533.46,0.8889,39,3.0461,0.083,0.9705,43,143848.0,0.0208
2011,100362.19,0.8896,39,2.9531,0.0914,0.9631,42,139469.0,0.0232
2012,104183.97,0.8817,38,2.8363,0.0823,0.9674,42,136636.0,0.0238
2014,110063.41,0.8913,37,2.6006,0.0776,0.9673,40,132522.0,0.0302
2015,121834.42,0.8664,37,2.5962,0.0783,0.9657,41,132361.0,0.0333
2016,117689.29,0.8698,39,2.4509,0.0737,0.9668,40,130705.0,0.039
2017,124602.51,0.8467,37,2.2983,0.0724,0.9655,38,127977.0,0.0474
2018,131277.11,0.8275,36,2.3154,0.0703,0.9679,38,124930.0,0.0496
2019,142664.89,0.7849,37,2.1221,0.0762,0.9568,37,122705.0,0.0608
2020,135255.39,0.8163,36,2.1569,0.0685,0.9659,37,121186.0,0.063
2021,138281.04,0.8306,36,1.9969,0.0614,0.9698,35,115767.0,0.07
2022,146586.66,0.7386,34,2.0225,0.0757,0.9584,33,107201.0,0.0733
2023,164698.11,0.6375,33,1.7929,0.0761,0.9504,31,102952.0,0.0874
2024,166468.42,0.6215,33,1.6985,0.0734,0.9503,30,100000.0,0.1013
