year,income_min,income_max,households
1994,0,2500.0,1992000
1994,2500,4999.0,2053000
1994,5000,7499.0,4780000
1994,7500,9999.0,4589000
1994,10000,12499.0,4751000
1994,12500,14999.0,4275000
1994,15000,17499.0,4453000
1994,17500,19999.0,3893000
1994,20000,22499.0,4296000
1994,22500,24999.0,3846000
1994,25000,27499.0,3824000
1994,27500,29999.0,3253000
1994,30000,32499.0,3857000
1994,32500,34999.0,3098000
1994,35000,37499.0,3376000
1994,37500,39999.0,2654000
1994,40000,42499.0,3102000
1994,42500,44999.0,2471000
1994,45000,47499.0,2575000
1994,47500,49999.0,1960000
1994,50000,52499.0,2620000
1994,52500,54999.0,1755000
1994,55000,57499.0,1933000
1994,57500,59999.0,1608000
1994,60000,62499.0,1956000
1994,62500,64999.0,1470000
1994,65000,67499.0,1515000
1994,67500,69999.0,1208000
1994,70000,72499.0,1247000
1994,72500,74999.0,1059000
1994,75000,77499.0,1179000
1994,77500,79999.0,877000
1994,80000,82499.0,941000
1994,82500,84999.0,648000
1994,85000,87499.0,647000
1994,87500,89999.0,560000
1994,90000,92499.0,679000
1994,92500,94999.0,503000
1994,95000,97499.0,503000
1994,97500,99999.0,404000
1994,100000,,6581000
1995,0,2500.0,1836000
1995,2500,4999.0,1815000
1995,5000,7499.0,4229000
1995,7500,9999.0,4309000
1995,10000,12499.0,4483000
1995,12500,14999.0,4233000
1995,15000,17499.0,4373000
1995,17500,19999.0,3921000
1995,20000,22499.0,4141000
1995,22500,24999.0,3413000
1995,25000,27499.0,3936000
1995,27500,29999.0,3414000
1995,30000,32499.0,3820000
1995,32500,34999.0,2997000
1995,35000,37499.0,3437000
1995,37500,39999.0,2875000
1995,40000,42499.0,3118000
1995,42500,44999.0,2486000
1995,45000,47499.0,2768000
1995,47500,49999.0,2192000
1995,50000,52499.0,2575000
1995,52500,54999.0,1889000
1995,55000,57499.0,2115000
1995,57500,59999.0,1697000
1995,60000,62499.0,1901000
1995,62500,64999.0,1555000
1995,65000,67499.0,1583000
1995,67500,69999.0,1292000
1995,70000,72499.0,1401000
1995,72500,74999.0,1030000
1995,75000,77499.0,1121000
1995,77500,79999.0,1019000
1995,80000,82499.0,998000
1995,82500,84999.0,870000
1995,85000,87499.0,751000
1995,87500,89999.0,638000
1995,90000,92499.0,659000
1995,92500,94999.0,558000
1995,95000,97499.0,598000
1995,97500,99999.0,466000
1995,100000,,7114000
1996,0,2500.0,1737000
1996,2500,4999.0,1691000
1996,5000,7499.0,4225000
1996,7500,9999.0,4227000
1996,10000,12499.0,4415000
1996,12500,14999.0,4243000
1996,15000,17499.0,4120000
1996,17500,19999.0,3748000
1996,20000,22499.0,4071000
1996,22500,24999.0,3570000
1996,25000,27499.0,4030000
1996,27500,29999.0,3216000
1996,30000,32499.0,3785000
1996,32500,34999.0,2777000
1996,35000,37499.0,3325000
1996,37500,39999.0,2588000
1996,40000,42499.0,3206000
1996,42500,44999.0,2526000
1996,45000,47499.0,2721000
1996,47500,49999.0,2099000
1996,50000,52499.0,2707000
1996,52500,54999.0,2084000
1996,55000,57499.0,2148000
1996,57500,59999.0,1824000
1996,60000,62499.0,2176000
1996,62500,64999.0,1547000
1996,65000,67499.0,1713000
1996,67500,69999.0,1281000
1996,70000,72499.0,1533000
1996,72500,74999.0,1159000
1996,75000,77499.0,1342000
1996,77500,79999.0,1038000
1996,80000,82499.0,1068000
1996,82500,84999.0,832000
1996,85000,87499.0,866000
1996,87500,89999.0,681000
1996,90000,92499.0,695000
1996,92500,94999.0,551000
1996,95000,97499.0,654000
1996,97500,99999.0,508000
1996,100000,,8293000
1997,0,2500.0,1962000
1997,2500,4999.0,1569000
1997,5000,7499.0,3972000
1997,7500,9999.0,3793000
1997,10000,12499.0,4431000
1997,12500,14999.0,3895000
1997,15000,17499.0,4027000
1997,17500,19999.0,3810000
1997,20000,22499.0,4009000
1997,22500,24999.0,3397000
1997,25000,27499.0,3849000
1997,27500,29999.0,3064000
1997,30000,32499.0,3770000
1997,32500,34999.0,2903000
1997,35000,37499.0,3506000
1997,37500,39999.0,2605000
1997,40000,42499.0,3237000
1997,42500,44999.0,2430000
1997,45000,47499.0,2739000
1997,47500,49999.0,2181000
1997,50000,52499.0,2809000
1997,52500,54999.0,2055000
