year,mc,mc_score
1994,200000,1.8084
1995,195000,1.7364
1996,160000,1.4311
1997,185000,1.6866
1998,175000,1.6327
1999,160000,1.3802
2000,230000,1.6968
2001,225000,1.7151
2002,220000,1.7183
2003,215000,1.7282
2004,210000,1.7257
2005,205000,1.7161
2006,200000,1.6926
2007,200000,1.6716
2008,190000,1.6705
2009,200000,1.7761
2010,195000,1.8215
2011,195000,1.8065
2012,190000,1.7998
2013,255000,1.7727
2014,185000,1.8133
2015,185000,1.7785
2016,195000,1.764
2017,185000,1.7405
2018,180000,1.7249
2019,185000,1.6555
2020,180000,1.7172
2021,180000,1.6976
2022,170000,1.6003
2023,165000,1.4222
2024,165000,1.4388
