year,alpha,alpha_se,r2_pow,tail_fraction,n_pow_bins
1994,5.5136,0.6451,0.9865,0.0665,3
1995,6.3506,1.4002,0.9536,0.0714,3
1996,3.3184,0.5391,0.8633,0.0821,8
1997,2.6602,0.6833,0.9381,0.0942,3
1998,3.9245,0.5535,0.9617,0.1052,4
1999,2.8587,0.5731,0.8615,0.1225,6
2000,3.7264,0.2204,0.8666,0.0123,46
2001,3.7924,0.2208,0.8753,0.0136,44
2002,3.7366,0.2158,0.8772,0.0132,44
2003,3.6393,0.2112,0.8787,0.0138,43
2004,3.6976,0.217,0.8789,0.015,42
2005,3.6182,0.2157,0.881,0.0177,40
2006,3.5876,0.2208,0.88,0.0193,38
2007,3.4562,0.2279,0.8712,0.0192,36
2008,3.5062,0.2299,0.8757,0.0211,35
2009,3.0126,0.1634,0.914,0.0202,34
2010,3.1563,0.1525,0.9325,0.0208,33
2011,3.2148,0.1797,0.9169,0.0232,31
2012,2.9999,0.1664,0.9181,0.0238,31
2013,2.6384,0.4234,0.9749,0.1598,3
2014,2.701,0.1485,0.922,0.0302,30
2015,2.7346,0.1605,0.912,0.0333,30
2016,2.6391,0.1816,0.8942,0.039,27
2017,2.349,0.1619,0.8939,0.0474,27
2018,2.3723,0.1604,0.8974,0.0496,27
2019,2.3206,0.1865,0.8707,0.0608,25
2020,2.3769,0.1644,0.9009,0.063,25
2021,1.9053,0.1669,0.867,0.07,22
2022,2.1309,0.2012,0.8617,0.0733,20
2023,1.5694,0.1993,0.7848,0.0874,19
2024,1.6536,0.2018,0.8174,0.1013,17
