,S
2005-03-30,0.7044724740723349
2005-03-31,0.7027377479375986
2005-04-01,0.7035575411551517
2005-04-04,0.7220594203036311
2005-04-05,0.7317355657635743
2005-04-06,0.7136077077584052
2005-04-07,0.7128298219187584
2005-04-08,0.6788595036406588
2005-04-11,0.6545356519248708
2005-04-12,0.674033901482147
2005-04-13,0.689882995508132
2005-04-14,0.6993959160158031
2005-04-15,0.6998973418120601
2005-04-18,0.7200751325385903
2005-04-19,0.8401769930215525
2005-04-20,0.8487385993575115
2005-04-21,0.857106297126167
2005-04-22,0.8715734043622768
2005-04-25,0.8616409690609274
2005-04-26,0.8563010058705464
2005-04-27,0.8487166934052129
2005-04-28,0.8466120158348559
2005-04-29,0.8277037133110443
2005-05-02,0.8444681831514392
2005-05-03,0.8427409132949876
2005-05-04,0.8632804060899654
2005-05-05,0.8709725114826199
2005-05-06,0.8937516765220597
2005-05-09,0.945104581981546
2005-05-10,0.9352447142885817
2005-05-11,0.9265521362630438
2005-05-12,0.9312715562978744
2005-05-13,0.9456676102479818
2005-05-16,0.9491195761314071
2005-05-17,0.9424709290135896
2005-05-18,0.952070626657091
2005-05-19,0.9338102726374823
2005-05-20,0.9727971391429111
2005-05-23,0.9811069836461572
2005-05-24,0.9703793074392281
2005-05-25,0.9636169489994049
2005-05-26,0.979738668469112
2005-05-27,0.9839492065981355
2005-05-30,0.9949235201680565
2005-05-31,0.9741226530444504
2005-06-01,0.9767380767034811
2005-06-02,0.9842720909896183
2005-06-03,0.9930658230943987
2005-06-06,0.9877039557262665
2005-06-07,1.0038271618171775
2005-06-08,0.9916187868091095
2005-06-09,1.009533833673786
2005-06-10,1.020234878882416
2005-06-13,1.0263764745128123
2005-06-14,1.0259395743198785
2005-06-15,1.002160319431102
2005-06-16,1.0108255492408647
2005-06-17,1.0095440436155145
2005-06-20,1.0099909819863746
2005-06-21,1.0028996494770046
2005-06-22,0.9852630816597182
2005-06-23,0.9998466434061373
2005-06-24,1.0049493390359607
2005-06-27,0.9960912262357511
2005-06-28,1.0165609776097977
2005-06-29,1.0024546997083321
2005-06-30,1.0175344939800572
2005-07-01,1.0342119446486955
2005-07-04,1.044681118792888
2005-07-05,1.022894823397661
2005-07-06,1.0284450350439542
2005-07-07,1.0242492298956332
2005-07-08,1.0088770504308564
2005-07-11,0.9815494771221085
