,S
2005-04-01,1.1840518747558033
2005-04-04,1.1581680125238643
2005-04-05,1.149597095768135
2005-04-06,1.1652680518657155
2005-04-07,1.1748150595877178
2005-04-08,1.1695961965293185
2005-04-11,1.1674386912427779
2005-04-12,1.181965757396888
2005-04-13,1.1638682368598834
2005-04-14,1.179520506514084
2005-04-15,1.173385509933131
2005-04-18,1.2300114165237193
2005-04-19,1.2147672126824802
2005-04-20,1.2000167182045922
2005-04-21,1.1982467904830962
2005-04-22,1.2318050145460266
2005-04-25,1.2723367237133067
2005-04-26,1.2941854677717783
2005-04-27,1.2991287785025123
2005-04-28,1.3035397774986148
2005-04-29,1.3166519676648378
2005-05-02,1.3308990815114667
2005-05-03,1.3292237042016453
2005-05-04,1.308836968658574
2005-05-05,1.3258100279202931
2005-05-06,1.3375060574850743
2005-05-09,1.3313647897064174
2005-05-10,1.332378443442186
2005-05-11,1.3134047889844322
2005-05-12,1.3220031487284432
2005-05-13,1.3243797800938906
2005-05-16,1.3221334156308526
2005-05-17,1.3380209114094042
2005-05-18,1.3646825814357
2005-05-19,1.373196533981519
2005-05-20,1.3383932346584513
2005-05-23,1.3380782736883272
2005-05-24,1.3281213809560424
2005-05-25,1.3231003541524744
2005-05-26,1.3170233580073913
2005-05-27,1.3229642488082716
2005-05-31,1.3344648485413333
2005-06-01,1.3254396017650822
2005-06-02,1.355677268851395
2005-06-03,1.373660110910471
2005-06-06,1.3946181384906815
2005-06-07,1.4014692268905533
2005-06-08,1.414533521456743
2005-06-09,1.4021437959030305
2005-06-10,1.3822908113508885
2005-06-13,1.391094136746692
2005-06-14,1.3960377803086543
2005-06-15,1.4008657557615531
2005-06-16,1.4013450784035966
2005-06-17,1.3984377597340858
2005-06-20,1.392230884000586
2005-06-21,1.4055427579787723
2005-06-22,1.4081737299848773
2005-06-23,1.3888351439761566
2005-06-24,1.3809814829219644
2005-06-27,1.3880075447360398
2005-06-28,1.3807295904595114
2005-06-29,1.3942727954603038
2005-06-30,1.3683053951848434
2005-07-01,1.368076200213744
2005-07-05,1.3428834481439518
2005-07-06,1.345162841618342
2005-07-07,1.336893881559285
2005-07-08,1.3478585560818996
2005-07-11,1.3593343312302046
2005-07-12,1.332608523025468
2005-07-13,1.2863192145047497
2005-07-14,1.2821401143726259
2005-07-15,1.2635271676248345
2005-07-18,1.2526202575921237
2005-07-19,1.2347671053206901
2005-07-20,1.2453807877036491
2005-07-21,1.2713914169656522
2005-07-22,1.2801824671636162
2005-07-25,1.2676419740854286
2005-07-26,1.255054088027471
2005-07-27,1.2422318716612868
2005-07-28,1.2437202337534585
2005-07-29,1.272260606172928
2005-08-01,1.3047615046566103
2005-08-02,1.281106397347966
2005-08-03,1.2925194878808428
2005-08-04,1.2564692284133419
2005-08-05,1.3002964337911433
2005-08-08,1.2839903233770353
2005-08-09,1.2654410313749018
2005-08-10,1.257581146728372
2005-08-11,1.2648626821933706
2005-08-12,1.2574299559338225
2005-08-15,1.2328027361069718
2005-08-16,1.1930003444222497
2005-08-17,1.2054553891598971
2005-08-18,1.2188929086152702
2005-08-19,1.2152534421948367
2005-08-22,1.2194230006490145
2005-08-23,1.208339079715137
2005-08-24,1.2113063035043354
