observation_date,M2V
1990-01-01,1.848
1990-04-01,1.859
1990-07-01,1.856
1990-10-01,1.839
1991-01-01,1.826
1991-04-01,1.833
1991-07-01,1.85
1991-10-01,1.861
1992-01-01,1.874
1992-04-01,1.905
1992-07-01,1.931
1992-10-01,1.951
1993-01-01,1.971
1993-04-01,1.985
1993-07-01,1.997
1993-10-01,2.023
1994-01-01,2.047
1994-04-01,2.08
1994-07-01,2.103
1994-10-01,2.139
1995-01-01,2.155
1995-04-01,2.151
1995-07-01,2.142
1995-10-01,2.147
1996-01-01,2.147
1996-04-01,2.165
1996-07-01,2.171
1996-10-01,2.176
1997-01-01,2.174
1997-04-01,2.19
1997-07-01,2.192
1997-10-01,2.184
1998-01-01,2.17
1998-04-01,2.155
1998-07-01,2.155
1998-10-01,2.14
1999-01-01,2.129
1999-04-01,2.124
1999-07-01,2.128
1999-10-01,2.145
2000-01-01,2.134
2000-04-01,2.15
2000-07-01,2.14
2000-10-01,2.132
2001-01-01,2.084
2001-04-01,2.057
2001-07-01,2.011
2001-10-01,1.978
2002-01-01,1.966
2002-04-01,1.97
2002-07-01,1.95
2002-10-01,1.924
2003-01-01,1.912
2003-04-01,1.899
2003-07-01,1.903
2003-10-01,1.938
2004-01-01,1.948
2004-04-01,1.938
2004-07-01,1.947
2004-10-01,1.956
2005-01-01,1.983
2005-04-01,1.993
2005-07-01,1.998
2005-10-01,1.999
2006-01-01,2.014
2006-04-01,2.015
2006-07-01,2.003
2006-10-01,1.994
2007-01-01,1.991
2007-04-01,1.983
2007-07-01,1.975
2007-10-01,1.974
2008-01-01,1.936
2008-04-01,1.924
2008-07-01,1.904
2008-10-01,1.81
2009-01-01,1.732
2009-04-01,1.705
2009-07-01,1.707
2009-10-01,1.723
2010-01-01,1.735
2010-04-01,1.742
2010-07-01,1.744
2010-10-01,1.741
2011-01-01,1.724
2011-04-01,1.709
2011-07-01,1.652
2011-10-01,1.645
2012-01-01,1.64
2012-04-01,1.629
2012-07-01,1.61
2012-10-01,1.584
2013-01-01,1.581
2013-04-01,1.572
2013-07-01,1.571
2013-10-01,1.563
2014-01-01,1.539
2014-04-01,1.547
2014-07-01,1.553
2014-10-01,1.54
2015-01-01,1.522
2015-04-01,1.527
2015-07-01,1.521
2015-10-01,1.5
2016-01-01,1.474
2016-04-01,1.465
2016-07-01,1.457
2016-10-01,1.449
2017-01-01,1.443
2017-04-01,1.437
2017-07-01,1.44
2017-10-01,1.45
2018-01-01,1.46
2018-04-01,1.465
2018-07-01,1.466
2018-10-01,1.463
2019-01-01,1.458
2019-04-01,1.46
2019-07-01,1.454
2019-10-01,1.437
2020-01-01,1.392
2020-04-01,1.13
2020-07-01,1.178
2020-10-01,1.165
2021-01-01,1.158
2021-04-01,1.151
2021-07-01,1.153
2021-10-01,1.164
2022-01-01,1.166
2022-04-01,1.192
2022-07-01,1.22
2022-10-01,1.255
2023-01-01,1.291
2023-04-01,1.325
2023-07-01,1.353
2023-10-01,1.374
2024-01-01,1.377
2024-04-01,1.389
2024-07-01,1.394
2024-10-01,1.395
