observation_date,V,TED,BAA,VIX,Phi_TED,Phi_BAA,Phi_VIX
1990-01-31,1.848,0.63,1.68,25.36,1.5873015873015872,0.5952380952380952,3.943217665615142
1990-02-28,1.848,0.61,1.68,21.99,1.639344262295082,0.5952380952380952,4.547521600727603
1990-03-31,1.848,0.7,1.58,19.73,1.4285714285714286,0.6329113924050632,5.06842372022301
1990-04-30,1.859,0.9,1.5,19.52,1.1111111111111112,0.6666666666666666,5.122950819672131
1990-05-31,1.859,0.62,1.71,17.37,1.6129032258064517,0.5847953216374269,5.757052389176741
1990-06-30,1.859,0.63,1.79,15.5,1.5873015873015872,0.5586592178770949,6.451612903225806
1990-07-31,1.856,0.49,1.77,21.11,2.0408163265306123,0.5649717514124294,4.737091425864519
1990-08-31,1.856,0.67,1.69,29.9,1.4925373134328357,0.591715976331361,3.3444816053511706
1990-09-30,1.856,1.17,1.94,29.11,0.8547008547008548,0.5154639175257733,3.4352456200618344
1990-10-31,1.839,0.95,2.13,30.04,1.0526315789473684,0.4694835680751174,3.3288948069241013
1990-11-30,1.839,1.29,2.27,22.16,0.7751937984496123,0.44052863436123346,4.512635379061372
1990-12-31,1.839,1.14,2.35,26.38,0.8771929824561404,0.425531914893617,3.7907505686125855
1991-01-31,1.826,0.87,2.3,20.91,1.1494252873563218,0.4347826086956522,4.782400765184122
1991-02-28,1.826,0.84,2.09,21.23,1.1904761904761905,0.47846889952153115,4.710315591144607
1991-03-31,1.826,0.63,1.96,16.88,1.5873015873015872,0.5102040816326531,5.924170616113744
1991-04-30,1.833,0.68,1.83,18.24,1.4705882352941175,0.5464480874316939,5.482456140350878
1991-05-31,1.833,0.53,1.77,15.93,1.8867924528301885,0.5649717514124294,6.277463904582548
1991-06-30,1.833,0.65,1.66,19.55,1.5384615384615383,0.6024096385542169,5.115089514066496
1991-07-31,1.85,0.53,1.6,15.18,1.8867924528301885,0.625,6.587615283267457
1991-08-31,1.85,0.36,1.75,14.46,2.7777777777777777,0.5714285714285714,6.915629322268326
1991-09-30,1.85,0.51,1.94,15.85,1.9607843137254901,0.5154639175257733,6.309148264984227
